what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1466080607021
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1466080607022
os,sysinfo,,,"win32",1466080607027
arch,sysinfo,,,"x86_64",1466080607027
ws,sysinfo,,,"win32",1466080607027
locale,sysinfo,,,"en_US",1466080607027
processors,sysinfo,,,"8",1466080607027
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1466080607027
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1466080607027
java.specification.name,sysinfo,,,"Java Platform API Specification",1466080607027
java.specification.vendor,sysinfo,,,"Oracle Corporation",1466080607027
java.specification.version,sysinfo,,,"1.8",1466080607027
java.vendor,sysinfo,,,"Oracle Corporation",1466080607027
java.version,sysinfo,,,"1.8.0_45",1466080607027
java.vm.info,sysinfo,,,"mixed mode",1466080607027
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1466080607027
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1466080607027
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1466080607027
java.vm.specification.version,sysinfo,,,"1.8",1466080607027
java.vm.vendor,sysinfo,,,"Oracle Corporation",1466080607027
java.vm.version,sysinfo,,,"25.45-b02",1466080607027
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466080613131
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466080813027
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466080815280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466080816396
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1466080816664
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1466080817143
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1466080819372
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1466080819459
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1466080819465
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1466080819491
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1466080819504
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466080819625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466080820967
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1466080832447
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1466080832489
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1466080832504
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1466080832506
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1466080832507
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1466080833155
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1466080841143
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.eof",1466080844760
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466082134228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466082387386
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1466082387460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1466082390014
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1466082390640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1466082391001
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466082392514
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466082931662
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466082932105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466084731362
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466084732318
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466084732735
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466084732832
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466084734000
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1466084734162
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466084734247
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1466084734470
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1466084734621
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1466084734621
