what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1466063250238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1466063250595
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1466063251366
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1466063253378
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1466063257738
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063266266
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063274132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063275953
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063278508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063280713
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063298881
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1466063299552
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1466063300699
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1466063301960
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1466063302547
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1466063333045
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063335418
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063360530
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1466063365044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063373856
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063379062
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1466063382115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063385689
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063387684
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1466063451607
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1466063453708
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1466063457847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063464000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063465550
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063467066
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063468519
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1466063468543
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1466063469579
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1466063470680
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1466063470971
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1466063482985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063483411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466063514006
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1466063514588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1466063548397
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1466063668195
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1466063679840
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1466063680600
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1466063682699
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1466063683013
